item,category
ENVELOPE KRAFT OURO 240X340MM FORONI 10UN,papelaria
REFIL PARA COLA QUENTE DAISO 24UN,papelaria
CARTUCHO DE TINTA HP PRETO 667 120 PAGINAS,papelaria
"CANETA ESFEROGRAFICA PRETA 0,4MM PONTA ULTRAFINA FINE PEN FABER-CASTELL",papelaria
BLOCO PARA FICHARIO TILIBRA TARJADO A4 UNIDADE 96 FOLHAS,papelaria
SACO PRESENTE PRATICOS LACO FACIL 60X90CM,papelaria
PASTA ABA ELASTICO PLASCONY OFICIO AZUL,papelaria
PISTOLA PARA COLA QUENTE FINA PRETO 10W GRAMP LINE UN,papelaria
FIXA QUADRO MEDIO COMMAND BRANCO 3M 3 PARES,NaN
KIT SACO DE PRESENTE SORTIDO 25X37 CROMUS UN,papelaria
ENVELOPE FORONI 200MMX280MM CAIXA COM 10,papelaria
KIT ESCOLAR FABER CASTELL ECOLAPIS 12 CORES,papelaria
CARTEIRA PRA CARTAO STRANGER THINGS FITA IMAGINARIUM,papelaria
"SACOLA CROMUS PAPEL PARDO KRAFT M 26X19,5X9,5 UNIDADE",papelaria
LJ GRAMPO BACCHI 26/6 P/ GRAMP C/1000,papelaria
CARTUCHO DE TINTA HP 664 TRICOLOR F6V28AB,papelaria
CADERNO GRANDE CANDY SPLASH CADERNO INTELIGENTE 80 FOLHAS,papelaria
BORRACHA HI POLYMER SOFT PEQUENA BRANCA PENTEL UNIDADE,NaN
"SACOLA PARA PRESENTE VERMELHO 32X26,5X13CM CROMUS UNIDADE",papelaria
SACO PRESENTE PRATICOS LACO FACIL 60X90CM,papelaria
SACO DE PRESENTE COM LACO 35X60 1UN,papelaria
CAIXA DE PRESENTE AMARELA MEDIA IMAGINARIUM,papelaria
LAPISEIRA TECNICA 0.5MM SHARP PRETA PENTEL UN,papelaria
CADERNO PAPEL DAISO TAMANHO A5 MODE 80 FOLHAS UNIDADE,papelaria
SUPER COLA TEK BOND 5GR,papelaria
MINI ORGANIZADOR COM TRAVA COR CRISTAL REF OR80100 ORDENE 650ML,papelaria
LAPIS GRAFITE FROZEN DISNEY TRIS 4UN,papelaria
CADERNO CARTOGRAFIA ESPIRAL JANDAIA UNIDADE 48 FOLHAS,papelaria
